time(ms) D0 D1 D2 D5 T47
0 0 0 0 0 47
10 10 12 12 12 47
20 24 28 26 24 47
30 36 37 35 30 47
40 42 44 42 35 47
50 48 49 47 43 47
60 52 53 52 49 47
70 56 56 54 52 47
80 58 59 58 56 47
90 60 58 60 58 47
100 61 61 60 60 47
110 61 60 60 61 47
120 62 61 61 61 47
130 60 60 61 62 47
140 61 59 60 62 47
150 60 59 60 62 47
160 59 56 59 61 47
170 53 52 55 60 47
180 48 48 51 59 47
190 44 44 47 55 47
200 38 42 46 51 47
210 39 40 41 50 47
220 39 40 41 45 47
230 39 40 40 42 47
240 39 40 39 41 47
250 40 39 40 40 47
260 40 41 39 40 47
270 43 41 40 39 47
280 43 42 41 39 47
290 45 43 42 39 47
300 47 46 43 40 47
310 49 46 44 40 47
320 49 47 46 41 47
330 50 49 47 43 47
340 51 50 49 44 47
350 51 50 49 45 47
360 52 51 49 46 47
370 51 51 51 48 47
380 52 51 51 48 47
390 51 51 51 50 47
400 51 51 51 50 47
410 51 51 51 51 47
420 50 51 51 51 47
430 49 50 51 51 47
440 50 50 50 52 47
450 48 49 51 51 47
460 48 49 49 51 47
470 47 48 49 51 47
480 47 48 50 51 47
490 45 47 48 50 47
500 45 47 47 50 47
510 45 46 47 49 47
520 44 46 46 49 47
530 44 45 46 49 47
540 43 45 45 48 47
550 44 44 45 46 47
560 44 44 45 47 47
570 44 44 44 44 47
580 44 44 44 45 47
590 44 44 44 45 47
600 45 44 44 45 47
610 45 45 44 44 47
620 46 44 45 44 47
630 47 45 44 44 47
640 47 46 45 44 47
650 48 46 45 44 47
660 48 46 46 45 47
670 49 47 47 45 47
680 49 48 47 44 47
690 49 48 46 45 47
700 49 48 48 46 47
710 49 49 48 46 47
720 49 48 48 47 47
730 49 49 50 47 47
740 49 49 48 47 47
750 48 49 49 48 47
760 48 49 49 49 47
770 49 48 48 48 47
780 47 49 50 49 47
790 48 48 48 48 47
800 46 48 48 49 47
810 47 48 49 49 47
820 47 48 48 49 47
830 46 47 47 49 47
840 46 47 48 48 47
850 46 47 47 49 47
860 46 46 47 48 47
870 45 47 47 48 47
880 46 46 46 48 47
890 46 46 46 47 47
900 45 45 47 47 47
910 46 46 45 47 47
920 45 46 46 47 47
930 47 46 46 47 47
940 46 45 45 46 47
950 46 46 46 46 47
960 47 46 46 46 47
970 47 46 46 46 47
980 47 46 46 46 47
990 48 47 46 46 47
