time(ms) I0 I1 I2 I5 T47
0 0 0 0 0 47
10 2 10 11 12 47
20 8 24 28 28 47
30 11 36 37 37 47
40 14 42 44 44 47
50 17 48 49 49 47
60 18 52 53 53 47
70 20 56 56 56 47
80 21 58 59 59 47
90 23 60 60 60 47
100 24 61 61 61 47
110 24 61 64 63 47
120 24 62 63 64 47
130 27 60 64 64 47
140 25 61 62 65 47
150 28 60 59 48 47
160 27 59 47 27 47
170 28 53 35 24 47
180 28 48 31 31 47
190 28 44 31 39 47
200 29 38 35 46 47
210 29 39 39 51 47
220 30 39 45 54 47
230 29 39 50 56 47
240 31 39 53 59 47
250 29 40 56 61 47
260 31 40 56 61 47
270 30 43 57 58 47
280 31 43 56 33 47
290 31 45 56 20 47
300 32 47 52 26 47
310 30 49 45 36 47
320 32 49 40 43 47
330 31 50 39 48 47
340 32 51 37 53 47
350 32 51 39 55 47
360 32 52 41 59 47
370 31 51 43 59 47
380 32 52 45 62 47
390 32 51 49 62 47
400 33 51 51 53 47
410 32 51 52 36 47
420 32 50 53 26 47
430 32 49 54 30 47
440 32 50 53 40 47
450 33 48 52 45 47
460 33 48 52 50 47
470 32 47 50 54 47
480 33 47 46 57 47
490 32 45 43 58 47
500 33 45 41 61 47
510 33 45 41 59 47
520 33 44 41 43 47
530 32 44 41 29 47
540 33 43 43 28 47
550 33 44 45 36 47
560 33 44 46 43 47
570 33 44 48 48 47
580 33 44 50 52 47
590 33 44 50 56 47
600 32 45 51 58 47
610 33 45 52 59 47
620 34 46 51 60 47
630 32 47 51 51 47
640 33 47 51 36 47
650 33 48 50 31 47
660 34 48 49 34 47
670 32 49 46 43 47
680 33 49 45 47 47
690 34 49 44 52 47
700 33 49 43 55 47
710 33 49 42 58 47
720 33 49 43 59 47
730 33 49 44 55 47
740 33 49 44 43 47
750 33 48 44 32 47
760 33 48 47 31 47
770 33 49 47 37 47
780 33 47 48 44 47
790 33 48 50 48 47
800 33 46 50 53 47
810 34 47 50 56 47
820 33 47 50 59 47
830 33 46 50 59 47
840 33 46 50 56 47
850 33 46 50 41 47
860 33 46 48 29 47
870 33 45 48 31 47
880 33 46 48 39 47
890 34 46 46 45 47
900 33 45 46 49 47
910 33 46 44 54 47
920 33 45 45 56 47
930 33 47 44 59 47
940 33 46 44 59 47
950 34 46 44 56 47
960 33 47 45 38 47
970 33 47 45 26 47
980 33 47 46 31 47
990 33 48 47 40 47
