time(ms) PI0 PI81 PI805 PI802 T47
0 0 0 0 0 47
10 11 12 12 11 47
20 28 28 28 28 47
30 38 37 37 37 47
40 42 44 45 44 47
50 46 49 48 47 47
60 45 53 50 48 47
70 45 55 51 48 47
80 45 56 50 48 47
90 45 55 51 47 47
100 45 55 51 47 47
110 44 55 50 47 47
120 45 54 50 48 47
130 44 54 50 47 47
140 45 52 50 47 47
150 45 52 49 47 47
160 44 52 50 47 47
170 45 50 49 47 47
180 44 50 49 47 47
190 45 49 50 47 47
200 44 49 49 47 47
210 45 49 48 47 47
220 44 49 49 47 47
230 45 48 48 47 47
240 45 47 48 47 47
250 44 47 49 47 47
260 44 48 48 47 47
270 45 47 48 47 47
280 44 47 48 47 47
290 45 47 48 47 47
300 44 47 49 47 47
310 45 47 47 47 47
320 45 47 48 47 47
330 44 46 47 47 47
340 44 47 48 47 47
350 45 47 48 48 47
360 44 47 48 46 47
370 45 46 47 47 47
380 45 48 48 47 47
390 44 47 47 48 47
400 45 47 47 46 47
410 44 46 47 47 47
420 45 47 48 48 47
430 44 48 48 47 47
440 45 47 47 47 47
450 44 46 47 46 47
460 45 48 47 48 47
470 45 47 48 47 47
480 44 47 47 47 47
490 44 46 47 47 47
500 45 48 48 47 47
510 44 47 46 47 47
520 45 46 48 47 47
530 44 47 47 47 47
540 45 48 47 47 47
550 45 47 48 47 47
560 44 47 46 47 47
570 45 46 48 47 47
580 44 48 47 47 47
590 44 47 47 47 47
600 45 46 48 48 47
610 45 47 46 46 47
620 44 48 47 47 47
630 45 47 48 47 47
640 45 46 47 48 47
650 44 47 47 46 47
660 44 48 46 47 47
670 45 47 48 47 47
680 44 46 47 48 47
690 45 47 47 46 47
700 45 48 47 47 47
710 44 47 47 47 47
720 44 46 47 48 47
730 45 47 47 47 47
740 44 48 47 46 47
750 45 47 47 47 47
760 44 47 47 48 47
770 46 46 47 47 47
780 44 48 47 46 47
790 44 47 47 47 47
800 45 46 47 48 47
810 44 47 47 46 47
820 45 48 47 47 47
830 44 47 47 48 47
840 45 46 48 47 47
850 44 47 46 46 47
860 45 48 47 47 47
870 45 47 47 48 47
880 44 46 47 47 47
890 44 47 48 46 47
900 45 48 46 47 47
910 44 47 47 48 47
920 45 46 48 47 47
930 45 47 47 46 47
940 44 48 46 47 47
950 44 47 47 48 47
960 45 47 47 47 47
970 44 46 48 46 47
980 45 47 46 47 47
990 44 48 47 48 47
