time(ms) $P1$ $P2$ $P3$ $P4$ $P10$ $P30$
0 2 11 12 12 11 12
10 13 28 40 29 29 28
20 18 37 46 37 37 38
30 23 40 48 44 45 44
40 27 43 51 49 49 49
50 28 44 51 52 53 53
60 30 46 53 54 57 57
70 33 47 52 55 58 58
80 34 48 53 55 60 61
90 35 49 55 56 62 62
100 35 50 54 57 61 63
110 37 49 55 57 63 64
120 37 50 55 57 61 65
130 39 50 55 57 63 64
140 39 51 55 57 61 65
150 39 51 55 58 63 66
160 41 51 56 57 61 65
170 40 52 56 57 63 65
180 41 51 56 58 62 65
190 42 52 56 58 63 64
200 42 52 56 58 62 66
210 42 52 55 58 62 65
220 42 52 56 58 62 64
230 43 53 57 58 62 66
240 43 52 56 58 63 65
250 43 53 56 58 61 64
260 44 53 56 58 63 65
270 43 52 56 58 62 66
280 44 53 56 59 62 65
290 44 52 56 57 63 65
300 44 53 56 59 62 64
310 45 53 57 58 62 66
320 44 53 56 58 62 65
