time(ms) P1 P2 P5 P8 P10 T47
0 0 0 0 0 0 47
10 2 10 12 11 12 47
20 8 21 27 28 28 47
30 11 27 38 38 38 47
40 14 30 42 42 43 47
50 17 31 42 46 47 47
60 18 33 43 45 47 47
70 20 34 44 45 46 47
80 21 34 43 45 46 47
90 23 35 43 45 46 47
100 24 36 43 45 45 47
110 24 36 43 44 46 47
120 24 36 44 45 44 47
130 27 37 43 44 46 47
140 25 37 43 45 45 47
150 28 37 43 45 45 47
160 27 37 43 44 44 47
170 28 38 44 45 46 47
180 28 38 43 44 45 47
190 28 38 44 45 45 47
200 29 37 42 44 45 47
210 29 39 44 45 45 47
220 30 38 43 44 45 47
230 29 38 43 45 45 47
240 31 38 44 45 45 47
250 29 39 43 44 46 47
260 31 38 43 44 44 47
270 30 38 43 45 45 47
280 31 39 44 44 45 47
290 31 38 43 45 46 47
300 32 39 43 44 45 47
310 30 39 43 45 44 47
320 32 38 43 45 45 47
330 31 39 43 44 46 47
340 32 39 44 44 45 47
350 32 38 43 45 45 47
360 32 39 43 44 45 47
370 31 39 43 45 45 47
380 32 39 44 45 45 47
390 32 39 43 44 44 47
400 33 38 43 45 46 47
410 32 39 43 44 45 47
420 32 39 43 45 45 47
430 32 39 44 44 45 47
440 32 38 43 45 45 47
450 33 39 43 44 45 47
460 33 39 43 45 45 47
470 32 39 43 45 44 47
480 33 39 44 44 46 47
490 32 39 43 44 45 47
500 33 39 44 45 45 47
510 33 38 42 44 45 47
520 33 39 44 45 45 47
530 32 39 43 44 45 47
540 33 39 43 45 45 47
550 33 39 44 45 45 47
560 33 39 43 44 45 47
570 33 39 42 45 45 47
580 33 38 44 44 45 47
590 33 39 43 44 45 47
600 32 39 44 45 45 47
610 33 40 42 45 45 47
620 34 38 44 44 45 47
630 32 39 43 45 45 47
640 33 39 44 45 45 47
650 33 39 43 44 45 47
660 34 39 43 44 45 47
670 32 39 43 45 44 47
680 33 39 43 44 45 47
690 34 38 44 45 46 47
700 33 39 43 45 45 47
710 33 39 44 44 45 47
720 33 39 43 44 45 47
730 33 39 42 45 45 47
740 33 39 44 44 45 47
750 33 39 43 45 45 47
760 33 38 43 44 45 47
770 33 39 43 46 45 47
780 33 39 44 44 45 47
790 33 40 43 44 45 47
800 33 38 43 45 45 47
810 34 39 44 44 45 47
820 33 39 42 45 44 47
830 33 39 44 44 45 47
840 33 38 43 45 46 47
850 33 39 43 44 45 47
860 33 40 44 45 45 47
870 33 38 43 45 44 47
880 33 39 43 44 46 47
890 34 39 43 44 45 47
900 33 39 43 45 45 47
910 33 38 43 44 45 47
920 33 40 43 45 45 47
930 33 38 44 45 45 47
940 33 39 43 44 45 47
950 34 39 43 44 44 47
960 33 39 44 45 46 47
970 33 39 42 44 45 47
980 33 38 44 45 45 47
990 33 39 43 44 45 47
