time(ms) T17 T27 T37 T47 T57 T67
0 0 0 0 0 0 0
10 11 11 11 12 12 12
20 24 29 28 28 28 28
30 20 32 37 37 37 38
40 13 29 40 45 45 45
50 13 25 38 47 49 49
60 16 26 39 48 54 54
70 17 25 37 48 55 57
80 17 26 37 48 57 59
90 17 26 37 47 57 60
100 18 27 37 47 57 63
110 16 27 36 47 56 63
120 16 27 37 48 57 64
130 17 26 37 47 57 64
140 16 27 37 47 58 65
150 16 27 37 47 57 65
160 17 27 36 47 57 65
170 17 26 37 47 57 66
180 17 26 37 47 57 65
190 16 27 36 46 57 66
200 17 27 38 47 57 66
210 16 26 36 48 57 65
220 17 28 37 47 58 66
230 17 26 37 46 57 65
240 17 27 37 47 57 66
250 16 27 37 48 57 66
260 17 27 36 47 57 66
270 16 26 37 47 57 66
280 17 27 37 47 58 65
290 17 27 36 47 57 67
300 17 26 38 47 57 65
310 16 27 36 47 57 66
320 17 27 37 46 57 66
330 17 27 37 48 57 66
340 16 26 38 47 57 66
350 17 27 36 47 57 66
360 17 28 37 47 57 66
370 17 26 37 47 57 66
380 16 27 37 47 57 66
390 17 27 37 46 58 66
400 17 26 37 47 56 66
410 17 27 36 48 57 66
420 17 27 37 47 57 66
430 16 27 38 47 58 66
440 17 27 36 47 57 66
450 17 26 37 47 56 66
460 17 27 37 47 58 66
470 17 27 37 47 57 67
480 16 27 37 46 57 66
490 17 27 37 48 56 66
500 17 27 36 47 58 66
510 17 26 37 47 57 66
520 16 27 38 46 57 66
530 17 27 36 47 57 67
540 17 27 37 48 57 66
550 17 27 37 47 57 66
560 17 27 37 46 57 66
570 16 27 37 48 57 66
580 17 26 37 47 57 67
590 18 28 36 47 57 66
600 17 27 37 47 57 66
610 16 26 37 47 57 66
620 17 27 37 47 58 67
630 17 27 37 46 56 66
640 16 27 37 47 57 66
650 18 27 37 48 58 67
660 17 27 37 47 57 66
670 16 27 36 47 57 66
680 17 27 37 47 56 66
690 18 26 37 47 57 67
700 17 27 37 47 58 66
710 17 28 37 46 57 66
720 16 26 37 47 57 67
730 18 27 37 48 57 66
740 17 27 38 47 57 66
750 16 27 36 46 57 67
760 17 27 37 47 56 66
770 17 27 37 48 58 66
780 17 27 37 47 57 67
790 17 26 37 46 57 66
800 17 27 37 48 57 67
810 17 27 37 47 57 66
820 17 28 37 47 57 67
830 17 26 37 47 57 66
840 16 27 37 47 57 66
850 17 27 36 47 57 67
860 18 27 37 47 57 66
870 16 27 37 46 57 67
880 17 27 38 47 57 66
890 17 26 36 48 57 67
900 17 27 37 47 57 66
910 17 27 38 47 57 67
920 17 27 37 46 57 66
930 17 28 37 48 57 66
940 16 26 37 47 57 67
950 18 27 37 46 57 67
960 17 28 37 47 57 66
970 16 27 36 48 57 66
980 17 26 37 47 57 67
990 17 27 38 47 57 66
